,Image Path,Image Name,Origin,CL,F,JH
0,http://www.vggallery.com/painting/p_0001.htm,['Still Life with Cabbage and Clogs'],"The Hague: Late November-mid December, 1881","Amsterdam, Van Gogh Museum",1,81
1,http://www.vggallery.com/painting/p_0063.htm,"['Still Life with Earthenware, Bottle and Clogs']","The Hague: Late November-mid-December, 1881","Otterlo, Kröller-Müller Museum",63,920
2,http://www.vggallery.com/painting/p_0062.htm,['Still Life with Yellow Straw Hat'],"The Hague: Late November-mid-December, 1881","Otterlo, Kröller-Müller Museum",62,922
3,http://www.vggallery.com/painting/p_0002.htm,['Beach at Scheveningen in Calm Weather'],"The Hague: August, 1882","Winona, Minn.: Minnesota Marine Art Museum (long term loan)",2,173
4,http://www.vggallery.com/painting/p_0004.htm,['View of the Sea at Scheveningen'],Scheveningen: 21 or 22 August 1882,"Amsterdam, Van Gogh Museum",4,187
5,http://www.vggallery.com/painting/p_0204.htm,['Cluster of Old Houses with the New Church in The Hague'],"The Hague: August, 1882","Oosterbeek, Netherlands, Albricht Art Gallery",204,190
6,http://www.vggallery.com/painting/p_0002a.htm,['Dunes'],"The Hague: August, 1882",Private collection,2a,176
7,http://www.vggallery.com/painting/p_0003.htm,['Dunes with Figures'],"The Hague: August, 1882","Bern, private collection",3,186
8,http://www.vggallery.com/painting/p_0192.htm,['Edge of a Wood'],"The Hague: August, 1882","Otterlo, Kröller-Müller Museum",192,184
9,http://www.vggallery.com/painting/p_0013.htm,"['Girl in the Street, Two Coaches in the Background, A']","The Hague: August, 1882","Winterthur, Villa Flora",13,179
10,http://www.vggallery.com/painting/p_0008a.htm,['Girl in the Woods'],"The Hague: August, 1882",Private collection,8a,180
11,http://www.vggallery.com/painting/p_0008.htm,['Girl in White in the Woods'],"The Hague: August, 1882","Otterlo, Kröller-Müller Museum",8,182
12,http://www.vggallery.com/painting/p_0012.htm,['Man Stooping with Stick or Spade'],"The Hague: August, 1882?","Izumi (Japan), Kuboso Memorial Museum of Arts",12,185
13,http://www.vggallery.com/painting/p_1665.htm,['Two Women in the Woods'],"The Hague: August, 1882","Paris, private collection",1665,181
14,http://www.vggallery.com/painting/p_0007.htm,['Women Mending Nets in the Dunes'],"The Hague: August, 1882",Private collection,7,178
15,http://www.vggallery.com/painting/p_0186.htm,['Bulb Fields'],"The Hague: April, 1883","Washington, National Gallery of Art, Collection Mr. and Mrs. Paul Mellon",186,361
16,http://www.vggallery.com/painting/p_0015.htm,['Cows in the Meadow'],"The Hague: August, 1883","Soumaya Museum, Mexico City",15,387
17,http://www.vggallery.com/painting/p_0016.htm,['Farmhouses in Loosduinen near The Hague at Twilight'],"The Hague: August, 1883","Utrecht, Centraal Museum (on loan from the van Baaren Museum Foundation, Utrecht)",16,391
18,http://www.vggallery.com/painting/p_0189.htm,['Footbridge across a Ditch'],"The Hague: August, 1883",Private collection,189,386
19,http://www.vggallery.com/painting/p_0015a.htm,['Landscape with Dunes'],"The Hague: August, 1883",Private collection,15a,393
20,http://www.vggallery.com/painting/p_0001b.htm,['Lying Cow'],"The Hague: August, 1883","Korea, private collection",1b,388
21,http://www.vggallery.com/painting/p_0001c.htm,['Lying Cow'],"The Hague: August, 1883",Location unknown,1c,389
22,http://www.vggallery.com/painting/pjh_0394.htm,['Marshy Landscape'],"The Hague: August, 1883",Private collection,n/a,394
23,http://www.vggallery.com/painting/p_0009.htm,['Potato Digging (Five Figures)'],"The Hague: August, 1883","Hamburg, private collection",9,385
24,http://www.vggallery.com/painting/p_0011.htm,"['Sower (study), The']","The Hague: August, 1883",Location unknown,11,392
25,http://www.vggallery.com/painting/p_1666.htm,['Three Figures near a Canal with Windmill'],"The Hague: August (?), 1883",Location unknown,1666,383
26,http://www.vggallery.com/painting/p_0010.htm,"['Wind-Beaten Tree, A']","The Hague: August, 1883",Location unknown,10,384
27,http://www.vggallery.com/painting/p_0017.htm,['Cottages'],"Nieuw-Amsterdam: mid September-mid November, 1883","Amsterdam, Van Gogh Museum",17,395
28,http://www.vggallery.com/painting/p_0018.htm,['Farmhouses Among Trees'],"The Hague: September, 1883","Warsaw, Museum Jana Pawla II",18,397
29,http://www.vggallery.com/painting/p_0019.htm,['Two Women in the Moor'],"Nieuw-Amsterdam: October, 1883","Amsterdam, Van Gogh Museum",19,409
30,http://www.vggallery.com/painting/p_0188.htm,['Landscape with a Church at Twilight'],"Drente: October, 1883",Private collection,188,413
31,http://www.vggallery.com/painting/p_0021.htm,['Peat Boat with Two Figures'],"Drente: October, 1883","Assen, Drents Museum",21,415
32,http://www.vggallery.com/painting/p_0020.htm,['Peasant Burning Weeds'],"Drente: October, 1883","Amsterdam, Van Gogh Museum / Assen, Drents Museum",20,417
33,http://www.vggallery.com/painting/p_0022.htm,['Farm with Stacks of Peat'],"Nieuw-Amsterdam: mid November, 1883","Amsterdam, Van Gogh Museum",22,421
34,http://www.vggallery.com/painting/p_0026.htm,['Weaver Facing Right (Half-Figure)'],"January, 1884","Berne, Collection H.R. Hahnloser",26,450
35,http://www.vggallery.com/painting/p_0034.htm,"['Old Tower at Nuenen with a Ploughman, The']","February, 1884","Otterlo, Kröller-Müller Museum",34,459
36,http://www.vggallery.com/painting/p_0162.htm,['Weaver Facing Right'],"February, 1884",Private collection,162,457
37,http://www.vggallery.com/painting/p_0029.htm,['Weaver Facing Left with Spinning Wheel'],"March, 1884","Boston, Museum of Fine Arts",29,471
38,http://www.vggallery.com/painting/p_0031.htm,['Landscape with Pollard Willows'],"April, 1884",Private collection,31,477
39,http://www.vggallery.com/painting/p_0035.htm,['Weaver Arranging Threads'],"April-May, 1884","Otterlo, Kröller-Müller Museum",35,478
40,http://www.vggallery.com/painting/p_0088.htm,"['Old Church Tower at Nuenen, The']","May, 1884","Zurich, Foundation E.G. Bührle",88,490
41,http://www.vggallery.com/painting/p_0184.htm,"['Old Tower of Nuenen with People Walking, The']","May, 1884",Private collection,184,458
42,http://www.vggallery.com/painting/p_0185.htm,"['Parsonage Garden at Nuenen, The']","May, 1884","Groningen, Groninger Museum voor Stad en Lande (on loan)",185,484
43,http://www.vggallery.com/painting/p_0048a.htm,['Water Mill at Kollen Near Nuenen'],"May, 1884","Den Bosch, Noordbrabants Museum",48a,488
44,http://www.vggallery.com/painting/p_0032.htm,['Weaver Arranging Threads'],"May, 1884",Private collection,32,480
45,http://www.vggallery.com/painting/p_0030.htm,"['Weaver, Seen from the Front']","May, 1884","Otterlo, Kröller-Müller Museum",30,479
46,http://www.vggallery.com/painting/p_0033.htm,['Weaver Standing in Front of a Loom'],"May, 1884","Paris, Private collection",33,489
47,http://www.vggallery.com/painting/p_0039.htm,['Cart with Black Ox'],"July, 1884",Portland Art Museum,39,505
48,http://www.vggallery.com/painting/p_0038.htm,['Cart with Red and White Ox'],"July, 1884","Otterlo, Kröller-Müller Museum",38,504
49,http://www.vggallery.com/painting/p_0040.htm,"['Old Tower in the Fields, The']","July, 1884",Private collection,40,507
50,http://www.vggallery.com/painting/p_0037.htm,"['Weaver, Interior with Three Small Windows']","July, 1884","Otterlo, Kröller-Müller Museum",37,501
51,http://www.vggallery.com/painting/p_0024.htm,['Weaver Near an Open Window'],"July, 1884","Munich, Neue Pinakothek",24,500
52,http://www.vggallery.com/painting/p_0027.htm,"['Weaver, Seen from the Front']","July, 1884","Rotterdam, Museum Boijmans-van Beuningen",27,503
53,http://www.vggallery.com/painting/p_0190.htm,['Village at Sunset'],"Summer, 1884","Amsterdam, Rijksmuseum",190,492
54,http://www.vggallery.com/painting/p_0041.htm,['Farmers Planting Potatoes'],"August-September, 1884","Otterlo, Kröller-Müller Museum",41,513
55,http://www.vggallery.com/painting/p_0172.htm,['Potato Planting'],"September, 1884","Wuppertal, Von der Heydt-Museum",172,514
56,http://www.vggallery.com/painting/p_0042.htm,['Shepherd with a Flock of Sheep'],"September, 1884","Mexico City, Soumaya Museum",42,517
57,http://www.vggallery.com/painting/p_0043.htm,['Wood Gatherers in the Snow'],"September, 1884","Japan, Yoshino Gypsum Collection",43,516
58,http://www.vggallery.com/painting/p_0123.htm,['Avenue of Poplars at Sunset'],"October, 1884","Otterlo, Kröller-Müller Museum",123,518
59,http://www.vggallery.com/painting/p_0122.htm,['Avenue of Poplars in Autumn'],"Late October, 1884","Amsterdam, Van Gogh Museum",122,522
60,http://www.vggallery.com/painting/p_0025.htm,['Congregation Leaving the Reformed Church in Nuenen'],"January-February, 1884 and Autumn, 1885","Amsterdam, Van Gogh Museum",25,521
61,http://www.vggallery.com/painting/p_0120.htm,['Lane in Autumn'],"October, 1884","Fribourg, Private collection",120,519
62,http://www.vggallery.com/painting/p_0076.htm,['Vase with Honesty'],"Autumn-Winter, 1884-85","Amsterdam, Van Gogh Museum",76,542
63,http://www.vggallery.com/painting/p_0064.htm,['Still Life with Bottles and a Cowrie Shell'],"November, 1884",Den Bosch: Noordbrabants Museum,64,537
64,http://www.vggallery.com/painting/p_0054.htm,['Still Life with Clogs and Pots'],"November, 1884","Utrecht, Centraal Museum (on loan from the van Baaren Museum Foundation, Utrecht)",54,536
65,http://www.vggallery.com/painting/p_0052.htm,"['Still Life with Coffee Mill, Pipe Case and Jug']","November, 1884","Otterlo, Kröller-Müller Museum",52,535
66,http://www.vggallery.com/painting/p_0056.htm,['Still Life with Five Bottles'],"November, 1884","Vienna, Österreichische Galerie Belvedere",56,530
67,http://www.vggallery.com/painting/p_0050.htm,"['Still Life with Four Stone Bottles, Flask and White Cup']","November, 1884","Otterlo, Kröller-Müller Museum",50,529
68,http://www.vggallery.com/painting/p_0060.htm,['Still Life with Paintbrushes in a Pot'],"November, 1884",United States: private collection,60,540
69,http://www.vggallery.com/painting/p_0178r.htm,"['Still Life with Pots, Jar and Bottles']","November, 1884","The Hague, Kunstmuseum Den Haag",178r,528
70,http://www.vggallery.com/painting/p_0057.htm,['Still Life with Pottery and Two Bottles'],"November, 1884","Pasadena (Cal.), Norton Simon Museum of Art",57,539
71,http://www.vggallery.com/painting/p_0058.htm,"['Still Life with Pottery, Beer Glass and Bottle']","November, 1884","United States, private collection",58,531
72,http://www.vggallery.com/painting/p_0061r.htm,['Still Life with Bottles and Earthenware'],"November-April, 1884-85","Amsterdam, Van Gogh Museum",61r,533
73,http://www.vggallery.com/painting/p_0049.htm,['Beer Tankards'],"September-mid-October, 1885","Amsterdam, Van Gogh Museum",49,534
74,http://www.vggallery.com/painting/p_0055.htm,['Still Life with Two Sacks and a Bottle'],"November, 1884",Private collection,55,532
75,http://www.vggallery.com/painting/p_0177.htm,['Two Rats'],"November, 1884",Private collection,177,543
76,http://www.vggallery.com/painting/p_0200.htm,['Vase with Dead Leaves'],"November, 1884",Private collection,200,541
77,http://www.vggallery.com/painting/p_0125.htm,['Water Mill at Gennep'],"November, 1884","Madrid, Museo Thyssen-Bornemisza",125,525
78,http://www.vggallery.com/painting/p_0048.htm,['Water Mill at Opwerten'],"November, 1884","London, Collection Mr. and Mrs. A.T. Smith",48,527
79,http://www.vggallery.com/painting/p_0046.htm,['Water Mill at Gennep'],"November, 1884","Amersfoort, Netherlands Cultural Heritage Agency (on long term loan to the Noordbrabants Museum, Den Bosch)",46,524
80,http://www.vggallery.com/painting/p_0160a.htm,['Head of a Peasant with Cap'],"December, 1884","Sydney, Art Gallery of New South Wales",160a,563
81,http://www.vggallery.com/painting/p_0132.htm,['Head of a Peasant Woman'],"December, 1884",Private collection,132,574
82,http://www.vggallery.com/painting/p_0136a.htm,['Head of a Peasant Woman with Dark Cap'],"December, 1884",Private collection,136a,548
83,http://www.vggallery.com/painting/p_0156.htm,['Head of a Woman'],"November-January, 1884-85","Amsterdam, Van Gogh Museum",156,569
84,http://www.vggallery.com/painting/p_0144.htm,['Head of a Peasant Woman with White Cap'],"December, 1884",Private collection,144,561
85,http://www.vggallery.com/painting/p_0146a.htm,['Head of a Peasant Woman with White Cap'],"December, 1884",St. Louis: The Saint Louis Art Museum,146a,565
86,http://www.vggallery.com/painting/p_0146.htm,['Head of an Old Peasant Woman with White Cap'],"December, 1884",Private collection,146,551
87,http://www.vggallery.com/painting/p_0075.htm,['Head of an Old Peasant Woman with White Cap'],"December, 1884","Wuppertal, Von der Heydt-Museum",75,550
88,http://www.vggallery.com/painting/p_0159.htm,['Head of a Woman'],"November-May, 1884-85","Amsterdam, Van Gogh Museum",159,None
89,http://www.vggallery.com/painting/p_0143.htm,"['Peasant Woman, Seated with White Cap']","December, 1884","Morohashi Museum of Modern Art: Kita-Shiobara-Mura (Fukushima), Japan",143,546
90,http://www.vggallery.com/painting/p_0080a.htm,['Head of a Woman'],"March, 1885","Amsterdam, Van Gogh Museum",80a,682
91,http://www.vggallery.com/painting/p_0164.htm,['Head of a Man'],"November-January, 1884-85","Amsterdam, Van Gogh Museum",164,558
92,http://www.vggallery.com/painting/p_0053.htm,['Still Life with Earthenware and Bottles'],"September-mid-October, 1885","Amsterdam, Van Gogh Museum",53,538
93,http://www.vggallery.com/painting/p_0153.htm,['Head of a Brabant Peasant Woman with Dark Cap'],"January, 1885","Otterlo, Kröller-Müller Museum",153,587
94,http://www.vggallery.com/painting/p_0169.htm,['Head of a Peasant with a Pipe'],"January, 1885","Otterlo, Kröller-Müller Museum",169,633
95,http://www.vggallery.com/painting/p_0169a.htm,['Head of a Peasant with Cap'],"January, 1885",Collection Niarchos,169a,583
96,http://www.vggallery.com/painting/p_0154.htm,['Head of a Peasant Woman with Brownish Cap'],"January, 1885","Otterlo, Kröller-Müller Museum",154,608
97,http://www.vggallery.com/painting/p_0135.htm,['Head of a Peasant Woman with Dark Cap'],"January, 1885","Cincinnati, The Cincinnati Art Museum",135,585
98,http://www.vggallery.com/painting/p_0153a.htm,['Head of a Peasant Woman with Dark Cap'],"January, 1885",Private collection,153a,586
99,http://www.vggallery.com/painting/p_0151.htm,['Head of a Peasant Woman with Dark Cap'],"January, 1885","Otterlo, Kröller-Müller Museum",151,649
100,http://www.vggallery.com/painting/p_0133.htm,['Head of a Peasant Woman with Dark Cap'],"January, 1885",Private collection,133,584
101,http://www.vggallery.com/painting/p_1667.htm,['Head of a Peasant Woman with Dark Cap'],"January, 1885",Private collection,1667,629
102,http://www.vggallery.com/painting/p_0137.htm,['Head of a Peasant Woman with Dark Cap'],"January, 1885",London: National Gallery,137,593
103,http://www.vggallery.com/painting/p_0065.htm,['Head of a Peasant Woman with White Cap'],"January, 1885",Location unknown,65,627
104,http://www.vggallery.com/painting/p_0087.htm,"['Old Cemetery Tower at Nuenen in the Snow, The']","January, 1885",Collection Niarchos,87,600
105,http://www.vggallery.com/painting/p_0067a.htm,"['Old Station at Eindhoven, The']","January, 1885",Private collection,67a,602
106,http://www.vggallery.com/painting/p_0067.htm,"['Parsonage Garden at Nuenen in the Snow, The']","January, 1885","Los Angeles, The Armand Hammer Museum of Art",67,604
107,http://www.vggallery.com/painting/p_0194.htm,"['Parsonage Garden at Nuenen in the Snow, The']","January, 1885","Pasadena (Cal.), Norton Simon Museum of Art",194,603
108,http://www.vggallery.com/painting/p_0138.htm,['Head of a Peasant Woman with Dark Cap'],"February, 1885","Haifa, Reuben and Edith Hecht Museum (University of Haifa)",138,644
109,http://www.vggallery.com/painting/p_0171.htm,['Peasant Making a Basket'],"February, 1885","La-Chaux-de-Fonds (Switzerland), Musée des Beaux-Arts",171,658
110,http://www.vggallery.com/painting/p_0171a.htm,['Peasant Making a Basket'],"February, 1885","Switzerland, private collection",171a,657
111,http://www.vggallery.com/painting/p_0145.htm,['Peasant Woman Peeling Potatoes'],"February, 1885",Private collection,145,653
112,http://www.vggallery.com/painting/p_0365r.htm,['Peasant Woman Peeling Potatoes'],"February, 1885","New York, The Metropolitan Museum of Art",365r,654
113,http://www.vggallery.com/painting/p_0127.htm,"['Peasant Woman, Seated (Half-Figure)']","February, 1885",Private collection,127,651
114,http://www.vggallery.com/painting/p_0126a.htm,['Peasant Woman Sewing'],"February, 1885","Euerbach, Collection Georg Schäfer",126a,655
115,http://www.vggallery.com/painting/p_0077r.htm,"[""Study for 'The Potato Eaters'""]","Early April, 1885","Amsterdam, Van Gogh Museum",77r,686
116,http://www.vggallery.com/painting/p_0168.htm,['Head of a Peasant'],"February-March, 1885","Otterlo, Kröller-Müller Museum",168,632
117,http://www.vggallery.com/painting/p_0070a.htm,['Head of a Woman'],"March, 1885","Amsterdam, Van Gogh Museum",70a,716
118,http://www.vggallery.com/painting/p_0074.htm,['Head of a Peasant Woman with Greenish Lace Cap'],"February-March, 1885","Otterlo, Kröller-Müller Museum",74,648
119,http://www.vggallery.com/painting/p_0150.htm,['Head of a Young Peasant Woman with Dark Cap'],"February-March, 1885","Otterlo, Kröller-Müller Museum",150,650
120,http://www.vggallery.com/painting/p_0036.htm,['Woman Winding Yarn'],"March, 1885","Amsterdam, Van Gogh Museum",36,698
121,http://www.vggallery.com/painting/p_0071.htm,['Woman Sewing'],"March-April, 1885","Amsterdam, Van Gogh Museum",71,719
122,http://www.vggallery.com/painting/p_0152.htm,['Peasant Woman Sweeping the Floor'],"February-March, 1885","Otterlo, Kröller-Müller Museum",152,656
123,http://www.vggallery.com/painting/p_0072.htm,['Peasant Woman Taking her Meal'],"February-March, 1885","Otterlo, Kröller-Müller Museum",72,718
124,http://www.vggallery.com/painting/p_1668.htm,"['Gordina de Groot, Head']","March, 1885","Zurich, Collection Mrs. A.M. Pierson",1668,691
125,http://www.vggallery.com/painting/p_0134.htm,['Head of a Peasant Woman with Dark Cap'],"March, 1885","Paris, Musée d'Orsay",134,684
126,http://www.vggallery.com/painting/p_0136.htm,['Head of a Peasant Woman with Dark Cap'],"March, 1885","Paris, Dufresne Art Gallery",136,683
127,http://www.vggallery.com/painting/p_0130.htm,['Head of a Woman'],"March, 1885","Amsterdam, Van Gogh Museum",130,692
128,http://www.vggallery.com/painting/p_0081.htm,['Head of a Peasant Woman with White Cap'],"March, 1885","Berne, Kunstmuseum Bern",81,695
129,http://www.vggallery.com/painting/p_0085a.htm,['Head of a Peasant Woman with White Cap'],"March, 1885","Pasadena (Cal.), Norton Simon Museum of Art",85a,694
130,http://www.vggallery.com/painting/p_0131.htm,['Head of a Peasant Woman with White Cap'],"March, 1885","Yoshiwa, Japan: Woodone Museum of Art",131,685
131,http://www.vggallery.com/painting/p_0080.htm,['Head of a Peasant Woman with White Cap'],"March, 1885","Zurich, Foundation E.G. Bührle",80,681
132,http://www.vggallery.com/painting/p_0163.htm,['Head of a Young Peasant in a Peaked Cap'],"March, 1885","Brussels, Musées Royaux des Beaux-Arts de Belgique",163,687
133,http://www.vggallery.com/painting/p_0165.htm,['Head of a Young Peasant in a Peaked Cap'],"March, 1885","Kansas City (Mo.), The Nelson-Atkins Museum of Fine Art",165,688
134,http://www.vggallery.com/painting/p_0157.htm,['Peasant Woman Darning Stockings'],"March, 1885",Private collection,157,712
135,http://www.vggallery.com/painting/p_0073.htm,"['Peasant Woman Seated before an Open Door, Peeling Potatoes']","March, 1885",Private collection,73,717
136,http://www.vggallery.com/painting/p_0144a.htm,"['Peasant Woman, Seated with White Cap']","March, 1885","Amersfoort, Netherlands Cultural Heritage Agency (on long term loan to the Noordbrabants Museum, Den Bosch)",144a,704
137,http://www.vggallery.com/painting/p_0070.htm,"['Peasant Woman, Seen against the Window']","March, 1885","Oyamazaki-cho, Asahi Beer Oyamazaki Villa Museum of Art",70,715
138,http://www.vggallery.com/painting/p_0128.htm,['Peasant Woman Standing Indoors'],"March, 1885","Belgrade, Narodni Muzej",128,697
139,http://www.vggallery.com/painting/p_0149.htm,['Peasant Woman with Child on Her Lap'],"March, 1885",Private collection,149,690
140,http://www.vggallery.com/painting/p_0069.htm,['Head of a Woman'],"March-May, 1885","Amsterdam, Van Gogh Museum",69,724
141,http://www.vggallery.com/painting/p_0085.htm,['Head of a Peasant Woman with White Cap'],"March-April, 1885","Otterlo, Kröller-Müller Museum",85,693
142,http://www.vggallery.com/painting/p_0175.htm,['Bobbin Winder'],"March-April, 1885","Amsterdam, Van Gogh Museum",175,497
143,http://www.vggallery.com/painting/p_0167.htm,['Peasant Sitting at a Table'],"March-April, 1885","Otterlo, Kröller-Müller Museum",167,689
144,http://www.vggallery.com/painting/p_0269r.htm,['Head of a Woman'],"March-May, 1885","Amsterdam, Van Gogh Museum",269r,725
145,http://www.vggallery.com/painting/p_0160.htm,['Head of a Woman'],"March, 1885","Amsterdam, Van Gogh Museum",160,722
146,http://www.vggallery.com/painting/p_0140.htm,['Head of a Peasant Woman with White Cap'],"April, 1885","Edinburgh, National Gallery of Scotland",140,745
147,http://www.vggallery.com/painting/p_0191.htm,['Landscape at Dusk'],"April, 1885","Madrid, Museo Thyssen-Bornemisza",191,762
148,http://www.vggallery.com/painting/p_0079.htm,['Landscape at Sunset'],"April, 1885","Switzerland, private collection",79,763
149,http://www.vggallery.com/painting/p_0129a.htm,['Peasant and Peasant Woman Planting Potatoes'],"April, 1885","Zurich, Kunsthaus Zurich",129a,727
150,http://www.vggallery.com/painting/p_0082.htm,"['Potato Eaters, The']","April, 1885","Amsterdam, Van Gogh Museum",82,764
151,http://www.vggallery.com/painting/p_0078.htm,"['Potato Eaters, The']","April, 1885","Otterlo, Kröller-Müller Museum",78,734
152,http://www.vggallery.com/painting/p_0117.htm,['Still Life with Bible'],"October, 1885","Amsterdam, Van Gogh Museum",117,946
153,http://www.vggallery.com/painting/p_0202.htm,['Still Life with Copper Coffeepot and Two White Bowls'],"April, 1885","Paris, private collection",202,738
154,http://www.vggallery.com/painting/p_0066.htm,['Two Hands'],"April, 1885",Private collection,66,743
155,http://www.vggallery.com/painting/p_0083.htm,"['Cottage, The']","Mid-May, 1885","Amsterdam, Van Gogh Museum",83,777
156,http://www.vggallery.com/painting/p_0141.htm,"['Gordina de Groot, Head']","May, 1885","Santa Barbara, California, Collection Mrs. M.C.R. Taylor",141,783
157,http://www.vggallery.com/painting/p_0086.htm,['Head of a Peasant Woman'],"May, 1885","Otterlo, Kröller-Müller Museum",86,785
158,http://www.vggallery.com/painting/p_0155.htm,['Head of a Peasant Woman in a Green Shawl'],"May, 1885","Lyon, Musee des Beaux-Arts",155,787
159,http://www.vggallery.com/painting/p_0388r.htm,['Head of a Woman'],"May, 1885","Amsterdam, Van Gogh Museum",388r,782
